jsonFileName,Errors,Counterexamples,NoInstances
student7_1_4_False_alloyAnalyzerReport.json,0,1,0
arr1_5_False_alloyAnalyzerReport.json,0,0,1
grade1_5_False_alloyAnalyzerReport.json,0,1,0
dll2_1_4_False_alloyAnalyzerReport.json,0,1,0
student7_1_2_False_alloyAnalyzerReport.json,1,0,0
dll4_2_False_alloyAnalyzerReport.json,0,1,0
dll2_1_2_False_alloyAnalyzerReport.json,0,1,0
grade1_3_False_alloyAnalyzerReport.json,0,1,0
arr1_3_False_alloyAnalyzerReport.json,0,0,1
student18_1_1_False_alloyAnalyzerReport.json,0,1,0
balancedBST1_5_False_alloyAnalyzerReport.json,1,0,0
dll1_1_1_False_alloyAnalyzerReport.json,0,1,0
student19_1_0_False_alloyAnalyzerReport.json,0,1,0
balancedBST1_3_False_alloyAnalyzerReport.json,1,0,0
student12_1_0_False_alloyAnalyzerReport.json,0,1,0
arr2_2_False_alloyAnalyzerReport.json,0,1,0
student14_1_0_False_alloyAnalyzerReport.json,0,1,0
cd1_1_0_False_alloyAnalyzerReport.json,0,1,0
balancedBST3_1_5_False_alloyAnalyzerReport.json,0,1,0
student13_3_False_alloyAnalyzerReport.json,0,1,0
student3_1_0_False_alloyAnalyzerReport.json,0,1,0
balancedBST2_1_2_False_alloyAnalyzerReport.json,0,1,0
fsm1_1_1_False_alloyAnalyzerReport.json,0,1,0
arr2_4_False_alloyAnalyzerReport.json,0,1,0
balancedBST2_1_4_False_alloyAnalyzerReport.json,0,1,0
student13_5_False_alloyAnalyzerReport.json,0,1,0
student11_0_False_alloyAnalyzerReport.json,0,1,0
balancedBST3_1_3_False_alloyAnalyzerReport.json,1,0,0
student15_0_False_alloyAnalyzerReport.json,0,1,0
student17_1_5_False_alloyAnalyzerReport.json,0,1,0
other1_5_False_alloyAnalyzerReport.json,0,1,0
student17_1_3_False_alloyAnalyzerReport.json,0,1,0
other1_3_False_alloyAnalyzerReport.json,0,1,0
student7_1_3_False_alloyAnalyzerReport.json,1,0,0
arr1_2_False_alloyAnalyzerReport.json,0,0,1
grade1_2_False_alloyAnalyzerReport.json,0,1,0
dll2_1_3_False_alloyAnalyzerReport.json,0,1,0
student7_1_5_False_alloyAnalyzerReport.json,0,1,0
dll2_1_5_False_alloyAnalyzerReport.json,0,1,0
grade1_4_False_alloyAnalyzerReport.json,0,1,0
arr1_4_False_alloyAnalyzerReport.json,0,0,1
student19_1_1_False_alloyAnalyzerReport.json,0,1,0
student12_1_1_False_alloyAnalyzerReport.json,0,1,0
balancedBST1_2_False_alloyAnalyzerReport.json,1,0,0
student16_0_False_alloyAnalyzerReport.json,1,0,0
student18_1_0_False_alloyAnalyzerReport.json,0,1,0
dll1_1_0_False_alloyAnalyzerReport.json,0,1,0
balancedBST1_4_False_alloyAnalyzerReport.json,1,0,0
arr2_5_False_alloyAnalyzerReport.json,0,1,0
fsm1_1_0_False_alloyAnalyzerReport.json,0,1,0
balancedBST3_1_2_False_alloyAnalyzerReport.json,1,0,0
student11_1_False_alloyAnalyzerReport.json,0,1,0
student13_4_False_alloyAnalyzerReport.json,0,1,0
cd1_1_1_False_alloyAnalyzerReport.json,0,1,0
student14_1_1_False_alloyAnalyzerReport.json,0,1,0
arr2_3_False_alloyAnalyzerReport.json,1,0,0
student3_1_1_False_alloyAnalyzerReport.json,0,1,0
balancedBST2_1_3_False_alloyAnalyzerReport.json,0,1,0
student13_2_False_alloyAnalyzerReport.json,0,1,0
student17_1_2_False_alloyAnalyzerReport.json,0,1,0
other1_2_False_alloyAnalyzerReport.json,0,1,0
student17_1_4_False_alloyAnalyzerReport.json,0,1,0
student15_1_False_alloyAnalyzerReport.json,0,1,0
other1_4_False_alloyAnalyzerReport.json,0,1,0
fsm2_1_False_alloyAnalyzerReport.json,0,1,0
dll1_1_3_False_alloyAnalyzerReport.json,1,0,0
student12_1_4_False_alloyAnalyzerReport.json,0,1,0
student18_1_3_False_alloyAnalyzerReport.json,0,1,0
student19_1_4_False_alloyAnalyzerReport.json,0,1,0
balancedBST1_1_False_alloyAnalyzerReport.json,1,0,0
student16_3_False_alloyAnalyzerReport.json,0,1,0
student12_1_2_False_alloyAnalyzerReport.json,0,1,0
dll1_1_5_False_alloyAnalyzerReport.json,0,1,0
student19_1_2_False_alloyAnalyzerReport.json,0,1,0
grade1_1_False_alloyAnalyzerReport.json,0,1,0
arr1_1_False_alloyAnalyzerReport.json,1,0,0
dll2_1_0_False_alloyAnalyzerReport.json,0,1,0
dll4_0_False_alloyAnalyzerReport.json,1,0,0
student10_0_False_alloyAnalyzerReport.json,1,0,0
student7_1_0_False_alloyAnalyzerReport.json,1,0,0
