jsonFileName,Errors,Counterexamples,NoInstances
student7_1_4_False_alloyAnalyzerReport.json,0,1,0
arr1_5_False_alloyAnalyzerReport.json,0,0,1
grade1_5_False_alloyAnalyzerReport.json,0,1,0
student7_1_2_False_alloyAnalyzerReport.json,0,1,0
arr1_3_False_alloyAnalyzerReport.json,1,0,0
student19_1_0_False_alloyAnalyzerReport.json,0,1,0
balancedBST1_3_False_alloyAnalyzerReport.json,0,1,0
student16_1_False_alloyAnalyzerReport.json,1,0,0
student12_1_0_False_alloyAnalyzerReport.json,0,1,0
addr1_3_False_alloyAnalyzerReport.json,0,1,0
arr2_2_False_alloyAnalyzerReport.json,1,1,0
student14_1_0_False_alloyAnalyzerReport.json,0,1,0
cd1_1_0_False_alloyAnalyzerReport.json,0,1,0
balancedBST3_1_5_False_alloyAnalyzerReport.json,0,1,0
student3_1_0_False_alloyAnalyzerReport.json,0,1,0
balancedBST2_1_2_False_alloyAnalyzerReport.json,0,1,0
fsm1_1_1_False_alloyAnalyzerReport.json,0,1,0
arr2_4_False_alloyAnalyzerReport.json,1,0,1
addr1_5_False_alloyAnalyzerReport.json,0,1,0
student8_1_False_alloyAnalyzerReport.json,0,1,0
student11_0_False_alloyAnalyzerReport.json,0,1,0
student2_1_1_False_alloyAnalyzerReport.json,0,1,0
balancedBST3_1_3_False_alloyAnalyzerReport.json,0,1,0
student15_0_False_alloyAnalyzerReport.json,0,1,0
other1_5_False_alloyAnalyzerReport.json,0,1,0
other1_3_False_alloyAnalyzerReport.json,0,1,0
student7_1_3_False_alloyAnalyzerReport.json,0,1,0
arr1_2_False_alloyAnalyzerReport.json,1,0,0
grade1_2_False_alloyAnalyzerReport.json,1,0,0
student7_1_5_False_alloyAnalyzerReport.json,0,1,0
grade1_4_False_alloyAnalyzerReport.json,0,1,0
arr1_4_False_alloyAnalyzerReport.json,0,1,0
student19_1_1_False_alloyAnalyzerReport.json,0,1,0
student12_1_1_False_alloyAnalyzerReport.json,0,1,0
balancedBST1_2_False_alloyAnalyzerReport.json,0,1,0
student16_0_False_alloyAnalyzerReport.json,1,0,0
dll1_1_0_False_alloyAnalyzerReport.json,0,1,0
balancedBST1_4_False_alloyAnalyzerReport.json,0,1,0
student8_0_False_alloyAnalyzerReport.json,1,0,0
arr2_5_False_alloyAnalyzerReport.json,1,0,0
student2_1_0_False_alloyAnalyzerReport.json,0,1,0
balancedBST3_1_2_False_alloyAnalyzerReport.json,0,1,0
cd1_1_1_False_alloyAnalyzerReport.json,0,1,0
student14_1_1_False_alloyAnalyzerReport.json,0,1,0
arr2_3_False_alloyAnalyzerReport.json,1,1,0
addr1_2_False_alloyAnalyzerReport.json,0,1,0
balancedBST3_1_4_False_alloyAnalyzerReport.json,0,1,0
other1_2_False_alloyAnalyzerReport.json,0,1,0
other1_4_False_alloyAnalyzerReport.json,0,1,0
student12_1_4_False_alloyAnalyzerReport.json,0,1,0
student16_5_False_alloyAnalyzerReport.json,1,0,0
cd2_0_False_alloyAnalyzerReport.json,0,1,0
balancedBST1_1_False_alloyAnalyzerReport.json,0,1,0
student12_1_2_False_alloyAnalyzerReport.json,0,1,0
bempl1_0_False_alloyAnalyzerReport.json,0,1,0
dll3_1_1_False_alloyAnalyzerReport.json,1,0,0
grade1_1_False_alloyAnalyzerReport.json,0,1,0
arr1_1_False_alloyAnalyzerReport.json,1,0,1
dll4_0_False_alloyAnalyzerReport.json,0,1,0
student7_1_0_False_alloyAnalyzerReport.json,0,1,0
other1_1_False_alloyAnalyzerReport.json,0,1,0
balancedBST2_1_0_False_alloyAnalyzerReport.json,1,0,0
student14_1_2_False_alloyAnalyzerReport.json,0,1,0
fsm1_1_5_False_alloyAnalyzerReport.json,0,1,1
cd1_1_2_False_alloyAnalyzerReport.json,0,1,0
addr1_1_False_alloyAnalyzerReport.json,1,0,0
student8_5_False_alloyAnalyzerReport.json,0,1,0
arr2_0_False_alloyAnalyzerReport.json,1,0,0
balancedBST3_1_1_False_alloyAnalyzerReport.json,0,1,0
student2_1_3_False_alloyAnalyzerReport.json,0,1,0
student11_2_False_alloyAnalyzerReport.json,0,1,0
student8_3_False_alloyAnalyzerReport.json,0,1,0
cd1_1_4_False_alloyAnalyzerReport.json,0,1,0
student14_1_4_False_alloyAnalyzerReport.json,0,1,0
fsm1_1_3_False_alloyAnalyzerReport.json,0,1,1
student12_1_3_False_alloyAnalyzerReport.json,0,1,0
balancedBST1_0_False_alloyAnalyzerReport.json,1,0,0
student16_2_False_alloyAnalyzerReport.json,1,0,0
student16_4_False_alloyAnalyzerReport.json,0,1,0
student12_1_5_False_alloyAnalyzerReport.json,0,1,0
